assembly_accession,bioproject,biosample,wgs_master,refseq_category,taxid,species_taxid,organism_name,infraspecific_name,isolate,version_status,assembly_level,release_type,genome_rep,seq_rel_date,asm_name,submitter,gbrs_paired_asm,paired_asm_comp,ftp_path,excluded_from_refseq,relation_to_type_material
GCF_000010525.1,PRJNA224116,SAMD00060925,,representative genome,438753,7,Azorhizobium caulinodans ORS 571,strain=ORS 571,,latest,Complete Genome,Major,Full,39371,ASM1052v1,University of Tokyo,GCA_000010525.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/010/525/GCF_000010525.1_ASM1052v1,,assembly from type material
GCF_000007365.1,PRJNA224116,SAMN02604269,,representative genome,198804,9,Buchnera aphidicola str. Sg (Schizaphis graminum),strain=Sg,,latest,Complete Genome,Major,Full,37439,ASM736v1,Uppsala Univ.,GCA_000007365.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/365/GCF_000007365.1_ASM736v1,,
GCF_000007725.1,PRJNA224116,SAMN02604289,,representative genome,224915,9,Buchnera aphidicola str. Bp (Baizongia pistaciae),strain=Bp (Baizongia pistaciae),,latest,Complete Genome,Major,Full,37650,ASM772v1,Valencia Univ.,GCA_000007725.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/725/GCF_000007725.1_ASM772v1,,
GCF_000009605.1,PRJNA57805,SAMD00061095,,reference genome,107806,9,Buchnera aphidicola str. APS (Acyrthosiphon pisum),strain=APS,Tokyo1998,latest,Complete Genome,Major,Full,38118,ASM960v1,Rikken GSC,GCA_000009605.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/009/605/GCF_000009605.1_ASM960v1,,
GCF_000021065.1,PRJNA224116,SAMN02604133,,na,561501,9,Buchnera aphidicola str. Tuc7 (Acyrthosiphon pisum),strain=Tuc7,,latest,Complete Genome,Major,Full,39819,ASM2106v1,University of Arizona,GCA_000021065.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/021/065/GCF_000021065.1_ASM2106v1,,
GCF_000021085.1,PRJNA224116,SAMN02604134,,na,563178,9,Buchnera aphidicola str. 5A (Acyrthosiphon pisum),strain=5A,,latest,Complete Genome,Major,Full,39819,ASM2108v1,University of Arizona,GCA_000021085.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/021/085/GCF_000021085.1_ASM2108v1,,
GCF_000090965.1,PRJNA224116,SAMN02604290,,representative genome,372461,9,Buchnera aphidicola BCc,strain=BCc,,latest,Complete Genome,Major,Full,39008,ASM9096v1,Valencia Univ.,GCA_000090965.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/090/965/GCF_000090965.1_ASM9096v1,,
GCF_000183225.1,PRJNA224116,SAMN02604265,,na,713603,9,Buchnera aphidicola str. LL01 (Acyrthosiphon pisum),strain=LL01,,latest,Complete Genome,Major,Full,40486,ASM18322v1,University of York,GCA_000183225.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/183/225/GCF_000183225.1_ASM18322v1,,
GCF_000183245.1,PRJNA224116,SAMN02604266,,na,713602,9,Buchnera aphidicola str. TLW03 (Acyrthosiphon pisum),strain=TLW03,,latest,Complete Genome,Major,Full,40486,ASM18324v1,University of York,GCA_000183245.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/183/245/GCF_000183245.1_ASM18324v1,,
GCF_000183285.1,PRJNA224116,SAMN02604267,,na,713601,9,Buchnera aphidicola str. JF99 (Acyrthosiphon pisum),strain=JF99,,latest,Complete Genome,Major,Full,40486,ASM18328v1,University of York,GCA_000183285.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/183/285/GCF_000183285.1_ASM18328v1,,
GCF_000183305.1,PRJNA224116,SAMN02604268,,na,713600,9,Buchnera aphidicola str. JF98 (Acyrthosiphon pisum),strain=JF98,,latest,Complete Genome,Major,Full,40486,ASM18330v1,University of York,GCA_000183305.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/183/305/GCF_000183305.1_ASM18330v1,,
GCF_000217635.1,PRJNA224116,SAMN02603413,,representative genome,261317,9,Buchnera aphidicola (Cinara tujafilina),,,latest,Complete Genome,Major,Full,40703,ASM21763v1,Instituto Cavanilles Biodiversidad y Biologia evolutiva.Universidad Valencia,GCA_000217635.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/217/635/GCF_000217635.1_ASM21763v1,,
GCF_000225445.1,PRJNA224116,SAMN02604329,,representative genome,1005090,9,Buchnera aphidicola str. Ak (Acyrthosiphon kondoi),strain=Ak,,latest,Complete Genome,Major,Full,40793,ASM22544v1,Yale University,GCA_000225445.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/225/445/GCF_000225445.1_ASM22544v1,,
GCF_000225465.1,PRJNA224116,SAMN02604330,,representative genome,1005057,9,Buchnera aphidicola str. Ua (Uroleucon ambrosiae),strain=Ua,,latest,Complete Genome,Major,Full,40793,ASM22546v1,Yale University,GCA_000225465.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/225/465/GCF_000225465.1_ASM22546v1,,
GCF_000521525.1,PRJNA224116,SAMN02641629,,na,1009856,9,Buchnera aphidicola str. USDA (Myzus persicae),strain=USDA,,latest,Complete Genome,Major,Full,41661,ASM52152v1,University of Miami,GCA_000521525.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/521/525/GCF_000521525.1_ASM52152v1,,
GCF_000521545.1,PRJNA224116,SAMN02641630,,na,1009857,9,Buchnera aphidicola str. W106 (Myzus persicae),strain=W106,,latest,Complete Genome,Major,Full,41661,ASM52154v1,University of Miami,GCA_000521545.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/521/545/GCF_000521545.1_ASM52154v1,,
GCF_000521565.1,PRJNA224116,SAMN02641631,,representative genome,1009858,9,Buchnera aphidicola str. G002 (Myzus persicae),strain=G002,,latest,Complete Genome,Major,Full,41661,ASM52156v1,University of Miami,GCA_000521565.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/521/565/GCF_000521565.1_ASM52156v1,,
GCF_000521585.1,PRJNA224116,SAMN02641632,,na,1009859,9,Buchnera aphidicola str. F009 (Myzus persicae),strain=F009,,latest,Complete Genome,Major,Full,41661,ASM52158v1,University of Miami,GCA_000521585.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/521/585/GCF_000521585.1_ASM52158v1,,
GCF_001280225.1,PRJNA224116,SAMN02937542,,representative genome,1265350,9,Buchnera aphidicola (Aphis glycines),strain=BAg,,latest,Complete Genome,Major,Full,42255,ASM128022v1,The Ohio State University,GCA_001280225.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/280/225/GCF_001280225.1_ASM128022v1,,
GCF_001648115.1,PRJNA224116,SAMN03483427,,representative genome,118110,9,Buchnera aphidicola (Schlechtendalia chinensis),strain=SC,,latest,Complete Genome,Major,Full,42508,ASM164811v1,"School of Life Sciences, Fudan University, Shanghai, China",GCA_001648115.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/648/115/GCF_001648115.1_ASM164811v1,,
GCF_001700895.1,PRJNA224116,SAMN04288104,,representative genome,118101,9,Buchnera aphidicola (Diuraphis noxia),,SAM,latest,Complete Genome,Major,Full,42591,ASM170089v1,University of Stellenbosch,GCA_001700895.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/700/895/GCF_001700895.1_ASM170089v1,,
GCF_900016785.1,PRJNA224116,SAMEA3598223,,representative genome,98804,9,Buchnera aphidicola (Tuberolachnus salignus),strain=BTs,Pazieg,latest,Complete Genome,Major,Full,42495,BTsPazieg1.0,ICBIBE-UV,GCA_900016785.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/016/785/GCF_900016785.1_BTsPazieg1.0,,
GCF_900128595.1,PRJNA224116,SAMEA4556319,,representative genome,655384,9,Buchnera aphidicola (Cinara pseudotaxifoliae),strain=BCipseudotaxifoliae,3056,latest,Complete Genome,Major,Full,42699,BCipseudotaxifoliae_v1.0,Centre de Biologie pour la Gestion des Populations (CBGP - UMR1062),GCA_900128595.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/128/595/GCF_900128595.1_BCipseudotaxifoliae_v1.0,,
GCF_900128725.1,PRJNA224116,SAMEA4556317,,representative genome,9,9,Buchnera aphidicola,strain=BCifornacula,2912,latest,Complete Genome,Major,Full,42699,BCifornacula_v1.0,Centre de Biologie pour la Gestion des Populations (CBGP - UMR1062),GCA_900128725.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/128/725/GCF_900128725.1_BCifornacula_v1.0,,
GCF_900128735.1,PRJNA224116,SAMEA4556315,,representative genome,1878935,9,Buchnera aphidicola (Cinara confinis),strain=BCiconfinis,2801,latest,Complete Genome,Major,Full,42699,BCiconfinis_v1.0,Centre de Biologie pour la Gestion des Populations (CBGP - UMR1062),GCA_900128735.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/128/735/GCF_900128735.1_BCiconfinis_v1.0,,
GCF_000218545.1,PRJNA224116,SAMN02232005,,representative genome,593907,11,Cellulomonas gilvus ATCC 13127,strain=ATCC 13127,,latest,Complete Genome,Major,Full,40709,ASM21854v1,US DOE Joint Genome Institute,GCA_000218545.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/218/545/GCF_000218545.1_ASM21854v1,,assembly from type material
GCF_000020965.1,PRJNA224116,SAMN02603928,,representative genome,309799,14,Dictyoglomus thermophilum H-6-12,strain=H-6-12; ATCC 35947,,latest,Complete Genome,Major,Full,39717,ASM2096v1,The J. Craig Venter Institute,GCA_000020965.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/020/965/GCF_000020965.1_ASM2096v1,,assembly from type material
GCF_000012885.1,PRJNA224116,SAMN02598295,,representative genome,338963,19,Pelobacter carbinolicus DSM 2380,strain=DSM 2380,,latest,Complete Genome,Major,Full,38806,ASM1288v1,DOE Joint Genome Institute,GCA_000012885.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/885/GCF_000012885.1_ASM1288v1,,assembly from type material
